"Sample_ID","Sample_Date","USDA_Species_Code","Cmass_mg_g","Nmass_mg_g","LMA_gDW_m2","LWC","Carea_g_m2","Narea_g_m2","CN_ratio"
"BNL12954",20190704,"ALVI5",491.3,26.9,64.774,52.96,31.823,1.742,18.2639405204461
"BNL12949",20190704,"ALVI5",487.9,28.5,73.189,57.16,35.709,2.086,17.119298245614
"BNL12953",20190704,"ALVI5",490.2,28.4,75.076,48.53,36.802,2.132,17.2605633802817
"BNL12952",20190704,"ALVI5",489.9,29,85.005,51.22,41.644,2.465,16.8931034482759
"BNL12955",20190704,"ALVI5",486.8,32.7,66.61,58.41,32.426,2.178,14.8868501529052
"BNL12980",20190704,"ALVI5",490,26,92.621,53.44,45.385,2.408,18.8461538461538
"BNL12973",20190704,"ALVI5",495.3,25.5,82.115,51.8,40.671,2.094,19.4235294117647
"BNL12974",20190704,"ALVI5",508.9,21.2,95.456,47.42,48.578,2.024,24.0047169811321
"BNL12976",20190704,"ALVI5",495.4,29.4,79.31,55.89,39.29,2.332,16.8503401360544
"BNL12979",20190704,"ALVI5",508.8,26.3,87.419,50.46,44.479,2.299,19.3460076045627
"BNL12977",20190704,"ALVI5",491.6,20.9,100.747,47.84,49.527,2.106,23.5215311004785
"BNL12978",20190704,"ALVI5",488.4,24.4,72.552,52.58,35.434,1.77,20.016393442623
"BNL12975",20190704,"ALVI5",467.1,23.1,87.47,54.87,40.857,2.021,20.2207792207792
"BNL12982",20190705,"ALVI5",499.1,23.6,79.419,51.77,39.638,1.874,21.1483050847458
"BNL12984",20190705,"ALVI5",497.6,27.1,74.537,51.52,37.09,2.02,18.3616236162362
"BNL12985",20190705,"ALVI5",503.1,26.6,93.948,47.37,47.265,2.499,18.9135338345865
"BNL12988",20190705,"ALVI5",505.4,28,72.118,44.33,36.449,2.019,18.05
"BNL12956",20190705,"ALVI5",494.2,24.3,71.098,50.57,35.137,1.728,20.3374485596708
"BNL12957",20190705,"ALVI5",499.1,29.7,67.018,52.73,33.449,1.99,16.8047138047138
"BNL12958",20190705,"ALVI5",496.2,26.2,53.383,55.46,26.489,1.399,18.9389312977099
"BNL12959",20190705,"ALVI5",491.8,30.2,66.389,54.59,32.65,2.005,16.2847682119205
"BNL12961",20190705,"ALVI5",497.9,23.6,92.315,43.44,45.964,2.179,21.0974576271186
"BNL12960",20190705,"ALVI5",510.5,28.1,76.76,49.83,39.186,2.157,18.1672597864769
"BNL12963",20190705,"ALVI5",506.4,29.6,91.55,49.2,46.361,2.71,17.1081081081081
"BNL12962",20190705,"ALVI5",495.9,27.5,87.47,52.36,43.376,2.405,18.0327272727273
"BNL13052",20190706,"ALVI5",491.1,24.2,94.611,47,46.463,2.29,20.2933884297521
"BNL13053",20190706,"ALVI5",487.5,20.4,93.438,47.66,45.551,1.906,23.8970588235294
"BNL13051",20190706,"ALVI5",494.7,24.9,95.07,41.75,47.031,2.367,19.8674698795181
"BNL13402",20190706,"ALVI5",491.7,28.1,100.045,39.44,49.192,2.811,17.4982206405694
"BNL13403",20190706,"ALVI5",505.7,29.8,82.788,44.56,41.866,2.467,16.9697986577181
"BNL13404",20190706,"ALVI5",500.7,25.1,101.96,46,51.051,2.559,19.9482071713147
"BNL13401",20190706,"ALVI5",507.4,21.7,102.141,43.47,51.826,2.216,23.3824884792627
"BNL13038",20190708,"SAPU15",495.2,20.6,95.336,37.86,47.21,1.964,24.0388349514563
"BNL14202",20190708,"SAPU15",373.5,14.2,100.163,45.12,37.411,1.422,26.3028169014085
"BNL14203",20190708,"SAPU15",469.2,20.1,98.893,48.12,46.401,1.988,23.3432835820896
"BNL14204",20190708,"SAPU15",501.3,22.6,95.719,41.99,47.984,2.163,22.1814159292035
"BNL14205",20190708,"SARI4",465.8,25.6,92.861,45.87,43.254,2.377,18.1953125
"BNL14206",20190708,"SAPU15",510.8,23,104.609,35.14,53.435,2.406,22.2086956521739
"BNL14207",20190708,"SAPU15",509.1,22.6,94.306,38.62,48.011,2.131,22.5265486725664
"BNL14208",20190708,"SAPU15",469,22.4,101.716,41.14,47.705,2.278,20.9375
"BNL14209",20190708,"SAPU15",502,19.6,99.601,41.34,50,1.952,25.6122448979592
"BNL14210",20190708,"SARI4",456.7,33,104.408,33.91,47.683,3.445,13.8393939393939
"BNL15358",20190708,"SARI4",467.7,26.5,108.48,39.29,50.736,2.875,17.6490566037736
"BNL15359",20190708,"SAPU15",470.2,25.2,93.945,47.47,44.173,2.367,18.6587301587302
"BNL14206analog",20190708,"SAPU15",490.3,21,106.475,41.67,52.205,2.236,23.347619047619
"BNL15352",20190707,"SAPU15",503,15.6,106.512,15.49,53.575,1.662,32.2435897435897
"BNL15353",20190707,"SAPU15",501.9,15.2,113.98,36.37,57.207,1.733,33.0197368421053
"BNL15354",20190707,"SAPU15",496.4,18.8,112.35,28.49,55.771,2.112,26.4042553191489
"BNL15355",20190707,"SAPU15",502.3,21.5,126.331,29.09,63.456,2.716,23.3627906976744
"BNL15351",20190706,"ALVI5",496.9,24.8,97.416,46.05,48.406,2.416,20.0362903225806
"BNL15356",20190706,"ALVI5",505,26.6,82.285,50.36,41.554,2.189,18.984962406015
"BNL15357",20190706,"ALVI5",494.6,23.4,86.365,51.62,42.716,2.021,21.1367521367521
"BNL13026",20190703,"SAPU15",503.8,20.8,96.231,44.53,48.481,2.002,24.2211538461538
"BNL13027",20190703,"ALVI5",506.5,20.1,106.135,49.91,53.757,2.133,25.1990049751244
"BNL13030",20190703,"RUCH",477.4,23.1,89.016,62.17,42.496,2.056,20.6666666666667
"BNL13031",20190703,"SAPU15",513.7,18,125.261,53,64.346,2.255,28.5388888888889
"BNL13033",20190703,"ALVI5",495.6,27.3,97.171,54.04,48.158,2.653,18.1538461538462
"BNL13156",20190703,"RUCH",482.7,26.5,80.448,63.46,38.832,2.132,18.2150943396226
"BNL13174",20190703,"ALVI5",507.2,30.4,94.257,54.43,47.807,2.865,16.6842105263158
"BNL13175",20190703,"BENA",494.9,19.7,79.97,54.45,39.577,1.575,25.1218274111675
"BNL13176",20190703,"VAUL",509.2,15.7,106.548,53.77,54.254,1.673,32.4331210191083
"BNL13177",20190703,"RUCH",472,26.8,88.118,61.18,41.592,2.362,17.6119402985075
"BNL13178",20190703,"SAPU15",507.9,17.8,115.121,48.66,58.47,2.049,28.5337078651685
"BNL13179",20190703,"BENA",496,18.1,92.474,51.51,45.867,1.674,27.4033149171271
"BNL13180",20190703,"VAUL",518,13.8,91.79,55.92,47.547,1.267,37.536231884058
"BNL13334",20190703,"BENA",501.7,19.6,82.426,57.39,41.353,1.616,25.5969387755102
"BNL13335",20190703,"BEGL",504.1,22.1,82.11,51.85,41.392,1.815,22.8099547511312
"BNL13336",20190703,"VAUL",509.4,15.7,88.044,57.09,44.85,1.382,32.4458598726115
"BNL13337",20190703,"BENA",501.8,21,108.734,53.62,54.563,2.283,23.8952380952381
"BNL13338",20190703,"SAPU15",469.5,20,82.537,61.82,38.751,1.651,23.475
"BNL13339",20190703,"ALVI5",500.7,24.7,100.328,56.41,50.234,2.478,20.2712550607287
"BNL13340",20190703,"SARI4",482.5,28.3,101.293,57.38,48.874,2.867,17.0494699646643
"BNL13341",20190703,"RUCH",470.3,28,88.88,59.54,41.8,2.489,16.7964285714286
"BNL13342",20190703,"VAUL",515.2,16.3,78.354,56.1,40.368,1.277,31.6073619631902
"BNL13344",20190703,"ALVI5",505,25.8,94.388,55.43,47.666,2.435,19.5736434108527
"BNL13345",20190703,"BEGL",495.7,31.9,80.364,65.4,39.836,2.564,15.5391849529781
"BNL13346",20190703,"ALVI5",486.7,26.4,91.293,60.51,44.433,2.41,18.4356060606061
"BNL13347",20190703,"VAUL",508.4,17.7,91.034,53.57,46.282,1.611,28.7231638418079
"BNL13348",20190703,"ALVI5",487.6,24.1,87.635,55.69,42.731,2.112,20.2323651452282
"BNL13349",20190703,"ALVI5",494.2,25.3,85.1,54.67,42.056,2.153,19.5335968379447
"BNL13350",20190703,"ALVI5",500.2,28.4,93.582,54.46,46.81,2.658,17.612676056338
"BNL13351",20190703,"BENA",493.8,28.4,85.332,60.92,42.137,2.423,17.387323943662
"BNL13352",20190703,"VAUL",526.3,16.1,94.92,48.47,49.956,1.528,32.6894409937888
"BNL13353",20190703,"SAPU15",514.3,27.4,94.752,56.57,48.731,2.596,18.7700729927007
"BNL13354",20190703,"BENA",480,31.8,81.084,58.01,38.92,2.578,15.0943396226415
"BNL13355",20190703,"ALVI5",494.4,25.1,85.202,55.43,42.124,2.139,19.6972111553785
"BNL13483",20190703,"ALVI5",491.2,23.3,91.414,54.7,44.902,2.13,21.0815450643777
"BNL13484",20190703,"BEGL",502.2,25.1,71.993,54.79,36.155,1.807,20.00796812749
"BNL13485",20190703,"BENA",488.1,21.1,100.615,50.29,49.11,2.123,23.1327014218009
"BNL13486",20190703,"ARALA7",497.1,16.1,146.745,52.21,72.947,2.363,30.8757763975155
"BNL13487",20190703,"POBIP",479.9,26.6,83.803,74.85,40.217,2.229,18.0413533834586
"BNL13488",20190703,"BEGL",496.3,25.4,76.881,57.39,38.156,1.953,19.5393700787402
"BNL13489",20190703,"ALVI5",488.4,29.2,88.526,56.82,43.236,2.585,16.7260273972603
"BNL13490",20190703,"SAPU15",497.4,20.6,82.922,63.28,41.245,1.708,24.1456310679612
"BNL13491",20190703,"ARALA7",500.8,15.8,153.135,51.44,76.69,2.42,31.6962025316456
"BNL13492",20190703,"ARALA7",512.1,16.7,128.684,57.08,65.899,2.149,30.6646706586826
"BNL13493",20190703,"ARALA7",508.2,16.6,138.733,55.28,70.504,2.303,30.6144578313253
"BNL13494",20190703,"BEPU4",490.6,19.3,75.238,62.99,36.912,1.452,25.419689119171
"BNL12986",20190704,"BENA",493.6,23.2,99.874,54.39,49.298,2.317,21.2758620689655
"BNL12987",20190704,"BEGL",516.2,24.4,68.441,58.25,35.329,1.67,21.155737704918
"BNL12983",20190704,"BEGL",502.9,23.6,80.581,57.43,40.524,1.902,21.3093220338983
"BNL12981",20190704,"EMNI",533.1,12.6,166.834,55.13,88.939,2.102,42.3095238095238
"BNL12964",20190705,"BENA",500.2,27.4,64.773,61.56,32.4,1.775,18.2554744525547
"BNL12965",20190705,"ARALA7",489.3,15.9,103.25,57.36,50.52,1.642,30.7735849056604
"BNL12966",20190705,"EMNI",526,8.8,173.639,48.58,91.334,1.528,59.7727272727273
"BNL12967",20190705,"DROCA2",493.2,19.5,106.708,53.08,52.628,2.081,25.2923076923077
"BNL12968",20190705,"ARALA7",493.3,15.2,128.217,57.68,63.25,1.949,32.4539473684211
"BNL12969",20190705,"BEGL",506.7,21.9,71.303,55.25,36.129,1.562,23.1369863013699
"BNL13500",20190705,"SAPH",508,22.5,114.4,50.04,58.115,2.574,22.5777777777778
"BNL13071",20190705,"SAPU15",499.9,21,101.355,57.64,50.668,2.128,23.8047619047619
"BNL13072",20190705,"DROCA2",501,18,142.671,51.13,71.478,2.568,27.8333333333333
"BNL13101",20190705,"ARALA7",494.6,16.9,113.333,58.59,56.054,1.915,29.2662721893491
"BNL13055",20190705,"EMNI",525.1,11.7,185.754,33.13,97.54,2.173,44.8803418803419
"BNL13429",20190706,"ERVA4",480.6,20.6,64.517,10.51,31.007,1.329,23.3300970873786
"BNL13428",20190706,"VAUL",509.6,16.8,93.664,19.02,47.731,1.574,30.3333333333333
"BNL13427",20190706,"ERVA4",480,20.1,69.049,21.06,33.143,1.388,23.8805970149254
"BNL13426",20190706,"SAPU15",505.7,22.9,83.662,45.57,42.308,1.916,22.0829694323144
"BNL13425",20190706,"ALVI5",501.8,24.9,84.407,49.63,42.355,2.102,20.1526104417671
"BNL13424",20190706,"LEDUM",560.3,15.4,161.86,46.24,90.69,2.493,36.3831168831169
"BNL13423",20190706,"VAUL",516.5,15.2,115.089,19.62,59.443,1.749,33.9802631578947
"BNL13422",20190706,"BEGL",507.3,23.9,80.144,50.52,40.657,1.915,21.2259414225941
"BNL13421",20190706,"BENA",507.6,19.9,88.284,42.86,44.813,1.757,25.5075376884422
"BNL13420",20190706,"ERVA4",493.1,22.6,53.918,19.31,26.587,1.219,21.8185840707965
"BNL13419",20190706,"ALVI5",498.1,23.4,98.416,51.53,49.021,2.303,21.2863247863248
"BNL13418",20190706,"VAUL",506.8,17.6,106.094,21.46,53.769,1.867,28.7954545454545
"BNL13417",20190706,"BENA",508.8,22.9,89.916,51.76,45.749,2.059,22.2183406113537
"BNL13416",20190706,"RUCH",478.8,23.1,95.262,46.68,45.611,2.201,20.7272727272727
"BNL13415",20190706,"ALVI5",495.5,23,96.978,48.43,48.053,2.23,21.5434782608696
"BNL13414",20190706,"SAPU15",476.5,21,89.394,44.13,42.596,1.877,22.6904761904762
"BNL13410",20190706,"LEDUM",547.5,14.1,174.446,47.63,95.509,2.46,38.8297872340426
"BNL13411",20190706,"ERVA4",483.1,21,67.438,11.16,32.579,1.416,23.0047619047619
"BNL13412",20190706,"SAPU15",470.4,19.6,96.141,42.71,45.225,1.884,24
"BNL13413",20190706,"RUCH",472.4,31.5,66.947,56.86,31.626,2.109,14.9968253968254
"BNL13409",20190706,"SAGL",471.4,23.7,86.095,51.5,40.585,2.04,19.8902953586498
"BNL13408",20190706,"ALVI5",495,26.3,95.944,54.05,47.492,2.523,18.8212927756654
"BNL13048",20190706,"RUCH",471.5,23.7,76.86,56.99,36.239,1.822,19.8945147679325
"BNL13407",20190706,"ERVA4",476.1,18.4,73.59,34.96,35.036,1.354,25.875
"BNL13406",20190706,"ALVI5",500.3,24.1,97.071,52.58,48.564,2.339,20.7593360995851
"BNL13405",20190706,"PEFR5",451.3,22.5,68.732,68.02,31.019,1.546,20.0577777777778
"BNL12990",20190707,"SAPH",499.4,22.2,108.971,43.21,54.42,2.419,22.4954954954955
"BNL12991",20190707,"DROCA2",497.3,23.7,74.767,52.22,37.182,1.772,20.9831223628692
"BNL12992",20190707,"ARALA7",485,13.2,98.149,51.38,47.602,1.296,36.7424242424242
"BNL12993",20190707,"ERVA4",459.6,11,51.93,36.76,23.867,0.571,41.7818181818182
"BNL12994",20190707,"KAPR",567.4,6.6,275.094,42.83,156.089,1.816,85.969696969697
"BNL12995",20190707,"VAVI",515.6,9.9,192.945,47.41,99.483,1.91,52.0808080808081
"BNL12996",20190707,"LEDUM",542.6,11,214.006,44.31,116.119,2.354,49.3272727272727
"BNL12997",20190707,"KAPR",546.7,6.7,283.099,36.67,154.77,1.897,81.5970149253731
"BNL12998",20190707,"SAPH",503.2,21.7,78.162,33.75,39.331,1.696,23.1889400921659
"BNL12999",20190707,"VAVI",508.2,7.9,188.365,47.7,95.727,1.488,64.3291139240506
"BNL13000",20190707,"BEPU4",497.5,27.7,68.257,61.09,33.958,1.891,17.9602888086643
"BNL13034",20190707,"VAVI",514.8,9,186.681,47.42,96.104,1.68,57.2
"BNL13035",20190707,"BEGL",497,24.4,74.223,51.49,36.889,1.811,20.3688524590164
"BNL13036",20190707,"BENA",494.8,20.8,84.574,48.26,41.847,1.759,23.7884615384615
"BNL13037",20190707,"KAPR",532.1,9.3,266.939,40.38,142.038,2.483,57.2150537634409
"BNL13447",20190708,"DOFR",423.8,26.7,49.049,81.78,20.787,1.31,15.87265917603
"BNL13448",20190708,"ARALA7",461.3,22.3,79.989,60.14,36.899,1.784,20.6860986547085
"BNL13449",20190708,"SARI4",461.9,28.5,69.693,61.24,32.191,1.986,16.2070175438596
"BNL13450",20190708,"ARALA7",459.4,23.4,89.023,62.26,40.897,2.083,19.6324786324786
"BNL13451",20190708,"VAUL",514.7,22,96.056,45.85,49.44,2.113,23.3954545454545
"BNL13452",20190708,"SAPU15",502.6,25.2,71.247,55.21,35.809,1.795,19.9444444444444
"BNL13054",20190708,"VAUL",497.4,18.8,82.464,52.5,41.018,1.55,26.4574468085106
"BNL13495",20190708,"PEFR5",442.3,36,57.768,80.32,25.551,2.08,12.2861111111111
"BNL13496",20190708,"PEFR5",414.3,25.7,59.569,82.62,24.679,1.531,16.1206225680934
"BNL13497",20190708,"SARI4",456.8,26.1,77.092,60.93,35.216,2.012,17.5019157088123
"BNL13498",20190708,"HIERA",459.5,32.5,41.657,69.62,19.141,1.354,14.1384615384615
"BNL13499",20190708,"DROCA2",503.5,30,56.801,62.54,28.599,1.704,16.7833333333333
"BNL13039",20190708,"SAPU15",501.7,22.9,85.345,48.24,42.818,1.954,21.9082969432314
"BNL13040",20190708,"DAFRF",463.7,26.7,56.68,29.81,26.282,1.513,17.3670411985019
"BNL13041",20190708,"DAFRF",474.5,20.3,59.852,35.66,28.4,1.215,23.3743842364532
"BNL13042",20190708,"ERAN6",454.9,26.1,48.718,74.14,22.162,1.272,17.4291187739464
"BNL13043",20190708,"ERAN6",465.8,25.9,65.435,65.11,30.48,1.695,17.984555984556
"BNL13044",20190708,"EQAR",396.9,31.3,55.773,76.55,22.136,1.746,12.6805111821086
"BNL13045",20190708,"EQAR",396.9,24.7,81.04,66.09,32.165,2.002,16.0688259109312
"BNL13430",20190711,"EQAR",391.6,17.4,77.653,70.41,30.409,1.351,22.5057471264368
"BNL13431",20190711,"VAUL",514.1,21,102.562,52.54,52.727,2.154,24.4809523809524
"BNL13432",20190711,"BENA",499.1,21.1,74.119,55.5,36.993,1.564,23.654028436019
"BNL13433",20190711,"RUCH",475.3,26.4,85.954,62.31,40.854,2.269,18.0037878787879
"BNL13434",20190711,"ERAN6",456.7,25.6,51.368,77.65,23.46,1.315,17.83984375
"BNL13435",20190711,"ERAN6",464.4,24.8,50.369,74.33,23.391,1.249,18.7258064516129
"BNL13436",20190711,"ERAN6",474.9,29.5,56.183,73.05,26.681,1.657,16.0983050847458
"BNL12970",20190713,"RUCH",478.6,20.7,106.952,61.03,51.187,2.214,23.1207729468599
"BNL12989",20190713,"RUCH",482.6,17.7,86.725,62.59,41.854,1.535,27.2655367231638
