"Location","Sample_ID","Sample_Date","USDA_Species_Code","Tleaf","RHs","CO2s","Ci","PhiCO2i","AsatG","Theta","Rday"
"Utqiagvik","BNL1818",20160709,"ERAN6",14.7585266,51.13697406,390.00611,314.6982337,0.03344167,13.46554514,0.834264018,0.989035804
"Utqiagvik","BNL1819",20160709,"ERAN6",14.8274342,63.97578267,390.0917402,344.7527118,0.041848519,19.53170482,0.664981727,2.901482963
"Utqiagvik","BNL1820",20160709,"ERAN6",14.90639121,59.75892912,390.1156682,336.7846058,0.033736005,18.52395037,0.659889586,1.854661685
"Utqiagvik","BNL1821",20160709,"ERAN6",14.90383264,61.9009473,390.1247493,330.55395,0.035092342,18.31804664,0.437784535,2.014590246
"Utqiagvik","BNL1827",20160710,"ERAN6",14.86668847,59.52486954,390.0516174,335.2209305,0.031992336,13.5216011,0.260575424,1.58290758
"Utqiagvik","BNL1828",20160710,"ERAN6",14.8963651,73.72702026,380.1620919,314.872173,0.03006077,19.29109295,0.733266008,2.799556215
"Utqiagvik","BNL1829",20160710,"ERAN6",14.93862976,56.48394666,389.5844225,339.4581638,0.041778666,24.1965977,0.084919493,1.670318354
"Utqiagvik","BNL1835",20160710,"ERAN6",14.95367686,57.78731867,390.0562602,330.150685,0.046916382,17.310741,0.359355826,2.451454022
"Utqiagvik","BNL1836",20160710,"ARLA2",15.04579074,77.64066432,390.0336092,330.2750498,0.042560562,16.03286415,0.553625399,1.949693425
"Utqiagvik","BNL1837",20160710,"ERAN6",14.966782,72.49398753,390.1126241,355.2743088,0.033809726,23.54338365,0.390015986,2.400770081
"Utqiagvik","BNL1839",20160710,"ERAN6",14.85990276,61.9536293,390.1761882,344.8892166,0.033867416,22.02153522,0.765793541,1.370422552
"Utqiagvik","BNL1840",20160710,"ERAN6",14.88688571,68.36997426,390.1698446,350.6949362,0.042357133,18.52836982,0.412156693,3.481957121
"Utqiagvik","BNL1842",20160710,"ARLA2",14.88733107,54.2147021,390.0352702,338.8495575,0.03228645,18.21581512,0.670140994,1.648622703
"Utqiagvik","BNL1843",20160711,"ARLA2",14.9077947,69.55011393,390.3028239,359.0844942,0.041893385,22.32514817,0.101594762,3.333810999
"Utqiagvik","BNL1844",20160711,"ARLA2",14.85736351,55.36236776,390.2038371,330.2897233,0.035424906,15.69387222,0.496836772,1.634029752
"Utqiagvik","BNL1845",20160711,"ARLA2",14.8939021,69.82234519,390.0794111,344.728107,0.028825072,17.35762875,0.082979981,1.564714907
"Utqiagvik","BNL1846",20160711,"ARLA2",14.89098422,70.3097997,390.1622538,372.9773791,0.028062462,18.3144482,0.127655778,4.146089023
"Utqiagvik","BNL1850",20160710,"ARLA2",14.82746194,43.46521225,390.100118,355.7487685,0.037882326,21.67022092,0.48704315,3.41849678
"Utqiagvik","BNL1873",20160711,"ARLA2",14.87250875,51.86572672,390.2164062,328.4532245,0.031592446,17.58068494,0.83102424,1.636297454
"Utqiagvik","BNL1874",20160711,"CAAQ",14.88849335,66.03991775,390.1455729,345.9905111,0.03613377,23.49403224,0.383632082,4.017942433
"Utqiagvik","BNL1876",20160712,"SAPU15",14.94261265,75.58513641,390.0515198,323.3519596,0.038195628,17.85820532,0.199479792,1.694247149
"Utqiagvik","BNL1881",20160711,"ARLA2",14.87683455,51.19857381,390.0752442,317.373569,0.036171278,18.05686496,0.573184722,1.202345325
"Utqiagvik","BNL1882",20160711,"ARLA2",14.86350861,64.07207311,390.1447408,356.8035959,0.030211438,16.82067151,0.493581293,2.925048567
"Utqiagvik","BNL1893",20160711,"SAPU15",14.87100455,64.10532939,390.355013,359.1660186,0.040911958,21.44826478,0.552609965,3.507264717
"Utqiagvik","BNL1894",20160711,"SAPU15",14.87982044,59.73940023,390.441744,359.2332147,0.036638431,21.694217,0.270885847,2.530614597
"Utqiagvik","BNL1895",20160711,"SAPU15",14.87931906,57.46515325,390.4158223,351.0079171,0.040009605,17.12227287,0.474437465,2.742588169
"Utqiagvik","BNL1896",20160711,"SAPU15",14.86384315,52.42203801,390.2889628,337.6458347,0.053903536,23.4466086,0.559996328,2.331191883
"Utqiagvik","BNL1897",20160711,"SAPU15",14.85315685,48.0616127,390.3539286,353.0882356,0.044803282,17.95258093,0.312470206,4.081217187
"Utqiagvik","BNL1908",20160712,"ARLA2",4.905995242,44.9097936,390.1935669,357.2780682,0.025642284,8.471618691,0.114223082,1.139161162
"Utqiagvik","BNL1921",20160712,"ARLA2",4.879769961,53.23291346,390.0654012,357.921244,0.025175506,9.365202739,0.47048131,1.121197433
"Utqiagvik","BNL1922",20160712,"ARLA2",5.958545367,74.40521037,389.9935954,345.3248129,0.031296021,11.60917736,0.433262777,1.259491925
"Utqiagvik","BNL1924",20160712,"CAAQ",14.84986159,48.96146723,390.0806885,329.2430325,0.031214367,18.54415929,0.444449063,1.839221795
"Utqiagvik","BNL1925",20160713,"PEFR5",24.92906214,46.44394862,390.2482483,286.3402853,0.060530236,14.70374521,0.585642392,2.847920362
"Utqiagvik","BNL1927",20160713,"PEFR5",24.93636513,69.87101898,390.0347738,323.8391046,0.056025602,17.9994339,0.776489963,5.062613595
"Utqiagvik","BNL1928",20160713,"PEFR5",24.95155029,41.69280548,390.0709737,302.727477,0.057632755,15.64849785,0.723796057,3.660865698
"Utqiagvik","BNL1930",20160712,"ARLA2",4.88669103,62.96818314,390.279834,361.3283928,0.026629149,14.98780285,0.026871893,2.029252309
"Utqiagvik","BNL1935",20160712,"ERAN6",5.724658489,80.85586276,389.9921308,361.362965,0.02419334,13.90436669,0.091516141,1.283165367
"Utqiagvik","BNL1948",20160713,"PEFR5",24.89249306,60.80733617,390.2559143,303.2638147,0.0513513,18.92265033,0.628287278,2.877076617
"Utqiagvik","BNL1949",20160713,"PEFR5",24.89045626,35.23090274,390.0423279,282.5866848,0.049784943,15.28863967,0.723053869,2.909822238
"Utqiagvik","BNL1950",20160713,"CAAQ",24.95131806,35.55620112,390.0267508,311.4257673,0.068387005,20.34427987,0.388445758,3.997400973
"Utqiagvik","BNL1951",20160713,"CAAQ",24.95450198,33.96917801,389.9388713,290.8425228,0.030097499,10.70439959,0.707957795,0.080936673
"Utqiagvik","BNL1952",20160713,"CAAQ",24.5677372,31.6557841,390.0201151,262.5809119,0.068022161,11.13129493,0.593085635,1.725348435
"Utqiagvik","BNL1954",20160713,"ARLA2",24.94203606,57.9565829,390.2220988,309.094234,0.040102214,17.30826017,0.822763634,2.181506013
"Utqiagvik","BNL1955",20160713,"ARLA2",24.88877501,54.96290398,390.1984972,317.4876742,0.051601415,21.23227437,0.651613368,2.485085613
"Utqiagvik","BNL1956",20160713,"ARLA2",24.85972481,42.05405655,390.1617696,320.3480663,0.043836411,16.63887073,0.605719771,2.728589586
"Utqiagvik","BNL1957",20160713,"SAPU15",14.97033698,66.28500748,389.9720378,339.8054289,0.04735075,19.45918379,0.696525558,1.763240943
"Utqiagvik","BNL1960",20160713,"ARLA2",24.97208459,60.93742861,390.1544778,307.9583185,0.036948025,19.01230761,0.584843964,1.732126651
"Utqiagvik","BNL1961",20160713,"ERAN6",24.84006678,32.60910924,390.106191,301.2017025,0.041553152,14.23551118,0.721264885,2.101474855
"Utqiagvik","BNL1963",20160714,"CAAQ",14.87176793,58.03900528,390.1371257,321.5515571,0.044979107,22.2360174,0.323052112,1.446574012
"Utqiagvik","BNL1964",20160714,"CAAQ",14.89089336,69.62270152,390.0234355,344.3450951,0.039309303,26.45237239,0.555833968,2.716479809
"Utqiagvik","BNL1966",20160714,"SAPU15",14.88332532,74.4150177,390.2167704,358.4503339,0.038286894,17.16414892,0.525029663,2.034078714
"Utqiagvik","BNL1967",20160714,"SAPU15",14.91619422,62.76008301,390.1486328,349.5711285,0.034410396,18.81612276,0.205271615,1.992788918
"Utqiagvik","BNL1978",20160714,"SAPU15",15.00406316,62.80993474,390.0730876,342.9122042,0.043336136,21.19808773,0.878161744,1.850617137
"Utqiagvik","BNL1980",20160714,"ARFU2",14.95852057,54.18547948,390.2863139,314.7383321,0.045943137,22.48800782,0.496769608,1.932117166
"Utqiagvik","BNL1981",20160714,"ARFU2",14.91717173,52.15743561,390.1267314,311.1784199,0.043485469,16.06179975,0.116838783,1.116924155
"Utqiagvik","BNL1982",20160714,"ARFU2",14.88957957,46.35956901,390.1945583,300.298675,0.049718415,23.50067062,0.10123757,1.423072828
"Utqiagvik","BNL1983",20160714,"ARFU2",14.92781385,49.34964142,390.1482747,321.1752376,0.068708891,21.51221504,0.456553388,2.941729701
"Utqiagvik","BNL1984",20160714,"SAPU15",14.98651536,50.42423019,390.0037639,348.1442317,0.041193012,28.84813561,0.651251476,2.099986208
"Utqiagvik","BNL1989",20160714,"ARFU2",14.89615739,50.96333237,390.2355367,315.3642688,0.042487124,18.46208742,0.561867762,1.529133657
"Utqiagvik","BNL1990",20160714,"ARFU2",14.92929421,65.16224365,390.1574544,339.9000999,0.040708378,21.6158117,0.746737574,3.021773003
"Utqiagvik","BNL1991",20160714,"ARFU2",14.92216206,50.59189529,390.1010234,311.8148675,0.05956914,22.47981859,0.388145744,1.977295549
"Utqiagvik","BNL1992",20160714,"ARFU2",14.97242845,58.54076284,390.3135437,342.9473398,0.033874892,17.96392648,0.719699491,2.640640343
"Utqiagvik","BNL1993",20160716,"PEFR5",14.97222979,63.07012984,390.0940211,303.9691947,0.043186969,15.44993815,0.558618583,2.938456725
"Utqiagvik","BNL1994",20160716,"PEFR5",14.92390013,63.20881939,389.9630413,329.4852278,0.050694653,16.13015402,0.503090109,3.303193772
"Utqiagvik","BNL1995",20160716,"PEFR5",14.84679972,50.76944071,390.1021606,320.2538705,0.044171714,20.84978565,0.66409717,3.377800532
"Utqiagvik","BNL1996",20160714,"ARFU2",14.86550725,69.00836283,390.261379,343.7614747,0.043409266,25.37495214,0.529385131,3.195566261
"Utqiagvik","BNL2000",20160716,"CAAQ",14.89382807,61.08999481,390.0234619,319.3979018,0.03891621,22.24454205,0.423423538,2.580260458
"Utqiagvik","BNL2001",20160716,"CAAQ",14.87342186,61.18368556,389.9355977,317.8279115,0.045206311,23.20975431,0.393961736,1.979766022
"Utqiagvik","BNL2023",20160716,"ARFU2",14.91869774,47.68242238,390.1079895,331.1450152,0.042809826,22.57760117,0.423107623,2.729214402
"Utqiagvik","BNL2024",20160716,"ARFU2",14.86986192,51.74681651,390.166807,329.8980462,0.046845311,19.00606655,0.529439245,2.579975325
"Utqiagvik","BNL2025",20160716,"ARFU2",14.83417791,46.26162593,390.0340067,305.073564,0.040688651,13.11024192,0.723708156,1.097793465
"Utqiagvik","BNL2026",20160716,"ARFU2",14.8703186,57.21411718,390.1445597,306.5756501,0.04543865,16.5895168,0.585386953,1.088229144
"Utqiagvik","BNL2027",20160716,"ARFU2",14.88610045,47.45031357,389.9684733,310.9202637,0.037441008,9.940118321,0.795857357,0.836989115
"Utqiagvik","BNL2033",20160716,"PEFR5",15.06216409,61.24224472,390.0130686,288.7399269,0.059619809,12.47897628,0.728818898,2.717937744
"Utqiagvik","BNL2034",20160716,"PEFR5",14.99980532,52.84290924,390.0199951,308.56553,0.054529527,21.42674292,0.489262015,2.975607385
"Utqiagvik","BNL2035",20160716,"PEFR5",14.98351351,40.26796493,390.1426432,287.1148665,0.05839769,17.59278879,0.488121052,2.794945086
"Utqiagvik","BNL2036",20160716,"PEFR5",15.00007401,48.88822632,389.9439514,292.8226545,0.063256464,18.96526141,0.661651994,2.40120856
"Utqiagvik","BNL2041",20160716,"PEFR5",14.88934422,47.99718908,390.0833435,300.3850413,0.046955923,14.20517621,0.393635972,1.807907383
"Utqiagvik","BNL2042",20160716,"PEFR5",14.8483146,34.31513125,390.2559224,272.6989097,0.036860248,12.27525044,0.704714712,1.993352131
"Utqiagvik","BNL2043",20160716,"PEFR5",14.84013462,30.5455499,390.2672363,286.204636,0.049807918,12.61941815,0.684051441,2.488789642
"Utqiagvik","BNL2053",20160717,"ERAN6",4.830167262,72.09947815,390.2386821,367.8741649,0.017888403,12.96494319,0.713504528,0.800633231
"Utqiagvik","BNL2055",20160717,"ERAN6",4.901696714,76.60824534,390.1093689,368.1655721,0.020173937,13.72960346,0.356558563,1.406499963
"Utqiagvik","BNL2057",20160717,"SAPU15",4.774971247,64.52343205,389.875946,362.4148352,0.023887692,6.914235423,0.945943814,0.795213697
"Utqiagvik","BNL2058",20160717,"SAPU15",4.889469846,63.19129664,390.1169698,367.6812773,0.025584365,9.447738843,0.556166118,0.914345516
"Utqiagvik","BNL2059",20160717,"SAPU15",4.837042872,77.42391815,390.0335205,357.7539845,0.038776553,9.255699266,0.586303576,1.231076874
"Utqiagvik","BNL2060",20160717,"SAPU15",4.90409921,68.95658722,390.1747721,376.4824138,0.025596844,7.445757483,0.436451848,1.029965145
"Utqiagvik","BNL2062",20160717,"ERAN6",4.902254105,49.68891347,390.0655904,369.2764177,0.01829368,10.84501083,0.569030673,0.759535163
"Utqiagvik","BNL2063",20160717,"ERAN6",4.834791152,58.06627502,390.0312337,367.3825987,0.037116106,16.02696323,0.043365565,2.534259897
"Utqiagvik","BNL2064",20160717,"ERAN6",4.913592561,71.45825551,390.0439677,379.7406552,0.04532621,14.16000882,0.113279949,3.892552623
"Utqiagvik","BNL2067",20160717,"SAPU15",4.805726835,47.92112214,390.0058768,363.915321,0.029867793,8.735487334,0.612946627,0.903839488
"Utqiagvik","BNL2068",20160717,"SAPU15",4.872452736,76.21861013,390.2840535,353.2514047,0.031694173,9.13170338,0.549629601,0.832176354
"Utqiagvik","BNL2069",20160717,"SAPU15",4.85960118,45.92592494,390.0658874,353.9030406,0.024596015,9.096529179,0.887392402,0.204414596
"Utqiagvik","BNL2070",20160717,"SAPU15",4.951581764,60.87128321,389.8488586,368.8572123,0.030013045,8.87730722,0.734287472,2.069678896
"Utqiagvik","BNL2072",20160717,"ERAN6",4.94645532,64.23154831,390.094399,373.4018756,0.020357064,11.84228797,0.495774763,1.463820303
"Utqiagvik","BNL2075",20160718,"CAAQ",4.900761267,65.4651405,389.9524422,363.3731627,0.030985661,8.161515007,0.355253269,2.256574285
"Utqiagvik","BNL2077",20160718,"CAAQ",4.907764852,63.14322209,390.1067104,371.1901977,0.032666906,11.49138535,0.149918156,1.766239148
"Utqiagvik","BNL2101",20160717,"ERAN6",4.921231333,71.19795583,390.1030578,367.0570553,0.040980241,12.6832614,0.320273271,1.713302073
"Utqiagvik","BNL2103",20160718,"SAPU15",4.926463842,68.81945147,390.012122,373.7705799,0.030110368,15.39348269,0.49777504,1.643969101
"Utqiagvik","BNL2104",20160718,"SAPU15",4.940687269,60.40203619,389.8408966,367.8270059,0.043175429,14.47259915,0.260417847,1.141673689
"Utqiagvik","BNL2106",20160718,"SAPU15",5.05131073,64.03525798,390.0138062,367.3032231,0.033098551,13.90182865,0.429250432,0.05946461
"Utqiagvik","BNL2107",20160718,"ARLA2",4.915447086,54.91052437,390.0084648,358.7592084,0.018393302,13.85373309,0.842945091,0.010420082
"Utqiagvik","BNL2108",20160718,"ARLA2",4.804211837,50.36877383,389.950855,369.2625814,0.043731526,14.06437567,0.193897721,1.408488905
"Utqiagvik","BNL2109",20160718,"ARFU2",4.802780376,65.56869462,389.9925717,357.0328865,0.032779773,11.51152457,0.60177555,1.990826108
"Utqiagvik","BNL2110",20160718,"ARFU2",4.849779522,69.36196451,390.0978986,329.5489401,0.03092214,10.15285165,0.493504077,0.520794073
"Utqiagvik","BNL2111",20160718,"ARFU2",4.670831859,74.961761,390.0301228,333.9117232,0.039396336,11.50469401,0.422631769,0.75383755
"Utqiagvik","BNL2112",20160718,"ARFU2",4.889817042,69.87070914,390.0779455,371.2590355,0.025690517,9.367071865,0.364062688,2.814195993
"Utqiagvik","BNL2113",20160718,"ARFU2",4.841906856,59.51905352,390.1251328,361.7510167,0.030163486,14.97266708,0.333609497,2.434346782
"Utqiagvik","BNL2114",20160718,"ARFU2",4.507074448,80.45173469,390.0396212,371.2456361,0.036879653,19.48873828,0.225315587,2.442700195
"Utqiagvik","BNL2117",20160718,"ARFU2",4.864932986,58.21893647,390.1003041,359.8835053,0.02108379,9.643656939,0.659434691,2.024226708
"Utqiagvik","BNL2118",20160718,"ARFU2",4.331673352,80.05801849,390.0274557,345.6601364,0.02123144,10.96878706,0.760813859,0.440586063
"Utqiagvik","BNL2123",20160718,"ARLA2",4.798789088,56.58931707,390.1588603,369.5131743,0.028869048,9.921196511,0.339443099,1.350177428
"Utqiagvik","BNL2125",20160718,"ARLA2",4.918681184,57.58031718,390.0464223,345.4841633,0.040150043,13.85218839,0.23259871,0.125839916
"Utqiagvik","BNL2126",20160718,"ARLA2",4.593890142,43.60457713,389.9869263,374.9063359,0.02931465,8.31539874,0.768760817,1.027986317
"Utqiagvik","BNL2142",20160719,"CAAQ",4.821666688,70.8666296,390.0549927,374.5968358,0.018793269,13.47631004,0.081397132,1.729179245
"Utqiagvik","BNL2145",20160719,"CAAQ",4.900762823,56.81525612,390.0495945,368.2687579,0.016386374,7.609543215,0.163637959,1.60745616
"Utqiagvik","BNL2148",20160719,"PEFR5",4.885963996,68.07427152,390.3617503,352.7155819,0.032183364,17.41320652,0.146183278,2.193264449
"Utqiagvik","BNL2155",20160719,"CAAQ",4.872546999,58.88562393,389.9869353,365.6661633,0.037621475,10.92198174,0.326010563,2.640197105
"Utqiagvik","BNL2160",20160719,"PEFR5",4.922833415,59.10901081,390.3399533,355.7410478,0.01610832,9.803399973,0.382846498,0.964116179
"Utqiagvik","BNL2163",20160719,"CAAQ",4.752197236,49.92844129,390.0883007,367.4257131,0.013870957,7.940500975,0.565049248,0.298971038
"Utqiagvik","BNL2165",20160719,"PEFR5",4.988217454,64.6708896,390.2276515,357.9094949,0.026815258,11.84740755,0.417912699,1.585982364
"Utqiagvik","BNL2175",20160720,"ARLA2",5.152712209,74.09144374,390.092974,366.8370613,0.021126174,8.899600381,0.681097213,2.087702251
"Utqiagvik","BNL2177",20160720,"ARLA2",5.082412243,71.05788307,389.9721176,353.5026914,0.020629577,7.970294435,0.50210442,0.735792136
"Utqiagvik","BNL2186",20160720,"PEFR5",5.136469015,83.59142812,390.4839132,360.6466833,0.031277272,12.80725184,0.405791132,2.48743122
"Utqiagvik","BNL2187",20160720,"ARFU2",5.250400135,52.43764196,390.1340986,339.3325018,0.025677411,9.663543258,0.684619699,1.034890135
"Utqiagvik","BNL2193",20160720,"PEFR5",5.103665795,79.51687132,390.410638,363.8614603,0.032180481,10.87446584,0.513841685,1.631069367
